Type;Immatriculation;Marque;Modele;Prix;Km;Etat;Divers1;Divers2
Voiture;AP-493-YV;Ford;Mustang Mach-E;165;52655;Disponible;4;Oui
Voiture;OQ-379-UV;Volkswagen;T-Roc;65;29504;Disponible;9;Oui
Voiture;ZY-507-TN;Dacia;Jogger;94;90300;Disponible;5;Oui
Moto;BS-811-XE;Ducati;Scrambler;121;56783;Disponible;400;A2
Moto;WO-411-UE;Ducati;Streetfighter V4;62;19591;Loué;1300;A
Voiture;NC-281-ME;BMW;i4;82;167243;Loué;4;Oui
Voiture;UE-805-LM;Audi;A5;42;77680;Loué;5;Oui
Voiture;IR-054-RZ;Toyota;Yaris;69;118572;Disponible;2;Oui
Moto;WV-927-NE;Honda;CB500F;126;85656;Loué;400;A2
Voiture;HX-182-CX;Audi;A5;179;167413;Disponible;5;Oui
Moto;TX-586-RG;KTM;Duke 125;42;57876;Disponible;650;A2
Voiture;DW-270-PK;Audi;e-tron;174;199904;Disponible;4;Oui
CampingCar;NL-161-PG;Peugeot;Traveller;248;77325;Disponible;6.1;7
Moto;WX-669-KX;Yamaha;Tracer 7;98;64543;Disponible;600;A2
Moto;AM-483-DE;Yamaha;R7;222;34291;Disponible;650;A2
Voiture;PM-430-DB;Toyota;RAV4;119;85742;Disponible;5;Oui
Voiture;XY-248-MU;Ford;Explorer;67;155952;Disponible;9;Oui
Moto;OC-441-UY;KTM;Duke 390;166;53543;Disponible;1100;A
Voiture;CK-626-UY;Seat;Arona;149;122862;Disponible;2;Oui
Voiture;NB-883-EM;Mercedes;GLA;172;7727;Disponible;4;Oui
Voiture;OC-520-UL;Hyundai;i30;150;145262;Loué;9;Oui
Moto;TV-026-SE;Royal Enfield;Classic 350;169;76647;Disponible;900;A
Moto;WG-311-XC;KTM;Super Duke 1290;60;96532;Disponible;1000;A
Voiture;AI-796-YK;Volvo;S60;104;132840;Disponible;7;Oui
Moto;JT-364-SG;Suzuki;GSX-S1000;181;3485;Disponible;900;A
Moto;EW-016-NW;BMW;S1000XR;114;10399;Loué;900;A
Voiture;CH-992-BA;Seat;Tarraco;165;96127;Loué;5;Oui
Voiture;GT-230-BW;BMW;X1;166;180716;Disponible;9;Oui
Voiture;ZP-865-OK;Mercedes;CLA;171;99800;Disponible;4;Oui
Moto;NG-635-AH;KTM;Super Adventure 1290;107;87194;En maintenance;300;A2
Moto;XS-002-XR;Suzuki;Hayabusa;161;41047;Disponible;750;A
Moto;WA-437-XO;Harley-Davidson;Fat Bob;66;46546;Disponible;900;A
Voiture;ME-792-YA;Audi;Q5;107;137239;Disponible;5;Oui
Voiture;VL-517-HA;BMW;Serie 4;91;62726;Disponible;2;Oui
Voiture;BW-959-UR;Seat;Leon;80;30512;Disponible;7;Oui
CampingCar;JK-143-DJ;Renault;Kangoo;127;235250;Loué;5.2;6
Voiture;BW-340-SA;Dacia;Jogger;45;170585;Disponible;7;Oui
Voiture;JF-459-VU;Seat;Ibiza;188;21097;Disponible;2;Oui
Voiture;NV-551-MN;Mercedes;GLA;71;111997;Disponible;2;Oui
Voiture;FQ-064-JJ;BMW;X1;117;109814;Disponible;2;Oui
Moto;EF-955-ZQ;Yamaha;MT-07;153;41513;Disponible;1000;A
Voiture;RB-744-TW;Toyota;Yaris Cross;152;109772;Loué;5;Oui
Voiture;SZ-082-WR;Audi;A6;118;192649;Disponible;5;Oui
Voiture;JS-783-KX;Nissan;Qashqai;118;183268;Disponible;9;Oui
Voiture;PM-811-ST;Toyota;Yaris;124;69711;Disponible;5;Oui
Moto;EY-471-BU;KTM;Super Adventure 1290;162;29628;Disponible;650;A2
Voiture;TT-717-IS;Volvo;S60;156;59665;Disponible;5;Oui
Moto;LI-427-OS;BMW;R1250RT;136;99028;Disponible;1000;A
Moto;ZX-404-MR;Harley-Davidson;Road Glide;250;45870;En maintenance;650;A2
Voiture;ZR-637-FO;Peugeot;5008;185;147810;Loué;5;Oui
Voiture;WW-977-UB;Dacia;Jogger;134;16582;Disponible;2;Oui
Voiture;CU-986-HL;Skoda;Karoq;132;140604;Disponible;9;Oui
Voiture;KQ-993-TF;BMW;Serie 5;108;77340;Disponible;9;Oui
Voiture;FE-714-XP;Dacia;Spring;45;74251;Disponible;5;Oui
CampingCar;UD-497-PJ;Mercedes;Marco Polo;95;82633;Disponible;7.8;7
Voiture;AV-662-ST;Volkswagen;Tiguan;102;35138;Disponible;9;Oui
Voiture;EL-739-TS;Seat;Ateca;48;119674;Disponible;5;Oui
Moto;UV-922-VF;Harley-Davidson;Road Glide;183;1329;Loué;125;A2
Voiture;AW-327-MU;Fiat;500X;173;140325;Disponible;4;Oui
CampingCar;ES-791-WI;Renault;Trafic SpaceNomad;323;111445;Disponible;7.1;6
CampingCar;PY-657-OV;Volkswagen;Grand California;310;192977;Disponible;5.9;5
Voiture;DU-133-QZ;Mercedes;GLC;122;189391;Loué;5;Oui
CampingCar;VZ-359-YX;Iveco;Daily;259;245374;Loué;8.2;3
CampingCar;WK-869-HS;Volkswagen;Caddy California;149;165841;Disponible;7.4;4
Voiture;BQ-323-RX;Skoda;Kamiq;38;177203;En maintenance;5;Oui
Moto;UJ-839-OM;Honda;CB1000R;45;81618;Disponible;800;A
Voiture;RV-307-AH;Skoda;Kodiaq;142;145639;Loué;5;Oui
CampingCar;PD-402-VQ;Citroën;Jumper;357;184979;Disponible;6.7;3
Voiture;BU-859-GG;Peugeot;3008;125;197270;Disponible;5;Oui
Moto;CL-727-QI;KTM;Adventure 890;207;1730;Disponible;1000;A
Voiture;JB-070-TS;Volvo;V60;46;198278;Disponible;9;Oui
CampingCar;NO-651-YO;Volkswagen;Crafter;263;126205;Loué;8.0;4
Moto;DX-673-ZE;Ducati;Scrambler;216;44122;Loué;900;A
Moto;BD-026-WP;Royal Enfield;Meteor 350;63;81693;Disponible;1800;A
Voiture;XA-449-UJ;Mini;Cooper;71;174305;Disponible;4;Oui
Voiture;PX-427-OG;Nissan;Micra;112;131364;Loué;5;Oui
Voiture;TC-734-UE;Nissan;Qashqai;46;124911;Disponible;5;Oui
Voiture;FQ-029-AL;Kia;Rio;43;170890;Disponible;2;Oui
Moto;BH-002-CT;Yamaha;R6;86;98141;Disponible;600;A2
Voiture;LP-375-SE;Tesla;Model S;103;63321;Disponible;9;Oui
CampingCar;JN-076-AU;Mercedes;Sprinter;128;68047;Disponible;7.9;7
Moto;EJ-462-BQ;Kawasaki;Z900RS;199;40299;En maintenance;1250;A
CampingCar;DX-130-RS;Citroën;Berlingo;369;39615;Disponible;8.8;2
Voiture;OQ-567-VL;Nissan;Qashqai;173;74820;Disponible;5;Oui
Moto;EY-318-VZ;Harley-Davidson;Low Rider S;197;75012;Disponible;1300;A
Voiture;PT-410-PS;Citroën;C5 Aircross;140;114614;Disponible;7;Oui
Moto;MN-165-GY;Triumph;Speed Triple;104;73170;Disponible;125;A2
Voiture;EU-801-BC;Skoda;Kamiq;135;29213;Disponible;5;Non
Voiture;HB-861-JX;Kia;Stonic;89;161153;Disponible;5;Oui
Moto;JV-461-SL;Yamaha;MT-07;180;28975;Loué;750;A
Voiture;GG-372-CF;Audi;A4;63;49520;Loué;5;Non
Voiture;EM-292-SL;Dacia;Jogger;85;168774;Disponible;7;Oui
Voiture;HD-112-DY;Audi;A4;185;64611;Loué;5;Non
Voiture;HS-057-HH;Dacia;Spring;193;167784;Disponible;7;Oui
Moto;QI-689-NR;Harley-Davidson;Low Rider S;209;15452;Disponible;600;A2
CampingCar;IS-671-JI;Mercedes;Vito;156;157655;Disponible;7.0;3
Voiture;GW-588-CB;Citroën;C5 X;55;79625;Loué;5;Oui
Voiture;TV-692-HT;Audi;Q3;61;73985;Disponible;5;Oui
Moto;TG-282-DV;Honda;Gold Wing;182;73730;Disponible;1800;A
Voiture;JW-439-UH;Ford;Kuga;93;124831;Disponible;5;Oui
Voiture;RS-362-PH;Ford;Focus;123;9988;Loué;4;Oui
CampingCar;RJ-119-MB;Iveco;Daily;158;205446;Disponible;6.8;5
CampingCar;PF-786-UV;Peugeot;Rifter;194;31422;Loué;6.8;5
Voiture;ZN-095-GW;Volvo;XC60;189;63113;Disponible;2;Oui
CampingCar;OY-179-XX;Citroën;Jumper;393;85610;Disponible;6.3;5
Voiture;SB-395-GT;Nissan;X-Trail;153;150721;Disponible;9;Oui
Voiture;PY-293-WL;Dacia;Duster;184;72205;Disponible;7;Oui
Moto;DS-043-ES;Suzuki;V-Strom 650;170;13852;Loué;800;A
Voiture;KM-007-AC;Tesla;Model Y;136;89461;Disponible;9;Oui
Voiture;XQ-407-MU;BMW;i4;175;76310;Disponible;5;Oui
Moto;OP-173-EP;BMW;F750GS;179;7767;Disponible;650;A2
Voiture;FS-320-XV;Toyota;C-HR;83;116791;Loué;2;Oui
Voiture;GN-493-FN;Seat;Ibiza;129;128624;Disponible;5;Oui
Voiture;FN-103-VM;Mini;Clubman;86;12621;Disponible;9;Oui
Voiture;BG-389-IQ;Volkswagen;ID.3;165;154678;Loué;9;Oui
Moto;YN-930-LP;KTM;Duke 125;101;52416;Loué;800;A
Voiture;WS-363-ZP;Toyota;RAV4;112;195535;Disponible;7;Oui
Voiture;MF-957-EY;BMW;Serie 1;32;32370;Loué;4;Oui
Moto;RN-490-OQ;Honda;CB1000R;233;88925;Disponible;300;A2
Voiture;LR-884-MO;Toyota;Yaris;151;176206;Disponible;9;Oui
Voiture;FR-507-UJ;Mini;Cooper;44;147567;Loué;5;Oui
Moto;MP-764-WR;Suzuki;V-Strom 1050;220;81344;Disponible;1250;A
Moto;PG-256-QY;Royal Enfield;Classic 350;245;56887;Disponible;1250;A
Moto;TI-142-LZ;Suzuki;V-Strom 1050;189;81357;Disponible;600;A2
Voiture;HL-337-MD;Volkswagen;Tiguan;56;154308;Disponible;7;Oui
Voiture;NV-110-EA;Mercedes;Classe A;181;169753;Loué;9;Oui
CampingCar;AV-668-ZC;Iveco;Daily;348;147347;Disponible;7.5;3
Moto;HN-612-TM;Royal Enfield;Continental GT 650;242;90840;Disponible;900;A
Moto;VQ-924-KS;Royal Enfield;Continental GT 650;170;7562;Disponible;750;A
Voiture;JA-135-MZ;Ford;Focus;139;160219;Disponible;2;Oui
Moto;DM-907-BR;Yamaha;Tracer 9;127;60347;Disponible;500;A2
Moto;EX-782-BQ;Suzuki;V-Strom 1050;80;58543;Disponible;650;A2
Moto;II-749-EC;Royal Enfield;Classic 350;204;72493;Disponible;400;A2
Voiture;FT-461-PG;Toyota;bZ4X;90;114653;Disponible;4;Oui
Voiture;HE-546-TI;Renault;Zoe;53;156416;Disponible;9;Oui
CampingCar;FV-389-WL;Fiat;Ducato;228;134080;Loué;6.0;7
Voiture;RQ-441-QN;Kia;EV6;41;124465;Loué;5;Oui
Moto;EE-011-OD;KTM;Super Adventure 1290;245;43192;Disponible;125;A2
Moto;DO-088-TW;BMW;S1000RR;174;98513;Disponible;900;A
Voiture;WK-531-HP;Ford;Kuga;197;196976;Loué;4;Oui
Voiture;BB-021-YJ;Mercedes;EQB;53;120791;Loué;9;Oui
Voiture;QC-531-AS;Mercedes;Classe C;118;36803;Disponible;5;Oui
Moto;TD-014-MI;Ducati;Monster;134;37252;Loué;1300;A
Voiture;HM-039-BT;Mini;Cooper S;94;115638;Disponible;5;Oui
Voiture;MC-246-WW;Ford;Fiesta;112;4951;Loué;5;Oui
CampingCar;CN-435-NQ;Iveco;Daily;146;208776;Disponible;7.4;4
Voiture;NG-431-BO;Nissan;Ariya;47;149624;Loué;5;Oui
Moto;LY-546-AO;Triumph;Tiger 1200;168;58240;Disponible;1000;A
CampingCar;CO-793-BL;Peugeot;Boxer;187;75945;Loué;6.7;7
Moto;LI-721-LC;Ducati;Panigale V2;95;52376;Disponible;800;A
Voiture;EV-998-UN;Fiat;500;170;72408;Disponible;9;Oui
CampingCar;RO-507-GS;Fiat;Scudo;388;201385;Disponible;5.5;7
Voiture;DL-071-RM;Kia;Picanto;148;109242;Disponible;5;Oui
Voiture;XP-998-AA;Ford;Focus;200;196751;Disponible;9;Oui
CampingCar;UT-247-EO;Volkswagen;California;110;221231;Disponible;6.0;4
Voiture;LA-143-PW;Fiat;500X;111;155783;Disponible;5;Oui
Voiture;VX-389-RE;Peugeot;5008;131;154843;Disponible;5;Oui
Voiture;JX-441-ZC;Citroën;C1;151;21929;En maintenance;4;Oui
Voiture;HT-578-VZ;Opel;Corsa;51;62870;Disponible;7;Oui
Moto;IJ-236-JQ;Ducati;Panigale V2;188;83247;Disponible;800;A
CampingCar;AR-564-IE;Mercedes;Marco Polo;120;213531;Loué;8.0;7
Moto;XX-893-EA;BMW;F900XR;125;51442;Disponible;1100;A
CampingCar;OX-437-FT;Iveco;Daily;210;103771;Disponible;6.0;6
Voiture;BN-231-NW;Citroën;C3;154;119563;Disponible;7;Oui
Moto;RU-985-UY;Kawasaki;Versys 650;127;20852;Disponible;400;A2
Moto;YW-511-ZC;Harley-Davidson;Pan America;212;67766;Disponible;300;A2
Voiture;RQ-171-PM;Volvo;XC90;82;3769;Disponible;5;Oui
Voiture;IB-718-HQ;Citroën;C5 X;106;184539;Loué;5;Oui
Voiture;TZ-887-XG;Volkswagen;Tiguan;63;159758;Loué;4;Oui
CampingCar;AY-649-IR;Citroën;Jumper;399;197422;Disponible;5.2;4
Moto;JR-552-JR;Ducati;Panigale V2;59;42967;En maintenance;1300;A
CampingCar;PS-689-UQ;Citroën;Jumper;334;114025;Disponible;8.1;7
Voiture;JQ-306-NR;Kia;Sorento;139;46031;Disponible;7;Oui
Voiture;DO-701-LI;Peugeot;208;181;139673;Disponible;9;Oui
CampingCar;CX-783-OH;Fiat;Ducato;285;129055;Disponible;6.8;6
Moto;KH-889-EV;Ducati;Scrambler;135;82201;En maintenance;600;A2
Voiture;NH-025-XM;Renault;Megane;131;140950;Loué;5;Oui
Moto;ID-385-AZ;KTM;Super Adventure 1290;78;76374;Disponible;300;A2
Moto;EO-474-AF;KTM;Super Duke 1290;189;34650;Disponible;800;A
Voiture;XA-451-XN;Audi;Q3;50;178927;Disponible;7;Oui
Moto;SN-513-VC;Suzuki;SV650;152;87550;Disponible;650;A2
Moto;BI-785-NW;Yamaha;MT-10;156;37931;Loué;125;A2
CampingCar;PY-379-ET;Citroën;Berlingo;254;114782;Disponible;5.8;7
Moto;OU-985-IL;Honda;CB1000R;209;56451;Loué;900;A
Moto;EL-039-DT;Triumph;Tiger 1200;108;20331;Loué;300;A2
Voiture;NH-344-TG;Toyota;Yaris;94;115008;Disponible;5;Oui
Voiture;XI-800-ZX;Kia;Sorento;89;103081;Disponible;7;Oui
Voiture;YR-624-RA;Seat;Arona;139;194658;Disponible;5;Oui
Moto;KN-535-VX;Suzuki;SV650;160;5903;Disponible;600;A2
Voiture;WF-035-ZH;Opel;Mokka;43;119215;Disponible;5;Oui
Voiture;BY-950-BG;Kia;Rio;160;158239;Disponible;5;Oui
Moto;IH-638-WQ;Yamaha;Tracer 7;207;82457;Disponible;400;A2
Moto;TM-043-XR;Triumph;Tiger 900;83;65951;Disponible;800;A
Moto;RY-397-BN;Ducati;Panigale V4;167;79673;Loué;400;A2
Voiture;CR-781-WW;Skoda;Enyaq;130;96584;Disponible;7;Oui
Voiture;PF-041-PN;Seat;Leon;141;152188;Disponible;7;Oui
Voiture;GC-160-TW;BMW;X5;167;161246;Disponible;7;Oui
Voiture;SL-040-NZ;BMW;Serie 3;141;10439;Loué;5;Oui
Voiture;VD-448-WD;Peugeot;408;118;21993;Disponible;4;Non
Voiture;JK-228-BB;Opel;Mokka;58;104969;Disponible;5;Oui
Voiture;AO-009-AE;Mercedes;Classe C;147;164264;Disponible;5;Non
Voiture;KQ-930-IO;Volvo;XC60;35;99111;Disponible;4;Oui
Voiture;XV-007-FW;Tesla;Model 3;139;96451;Disponible;2;Oui
Voiture;GE-079-XD;Dacia;Duster;171;162347;Disponible;7;Oui
Voiture;SJ-763-HX;Dacia;Spring;44;124046;Disponible;5;Oui
Moto;HD-011-DC;Yamaha;XMAX;175;85999;Disponible;1100;A
Moto;KR-830-YE;Suzuki;GSX-S750;171;19657;Loué;750;A
Voiture;IJ-141-QU;Ford;Mustang Mach-E;155;9120;Disponible;5;Oui
Voiture;ER-130-LA;Opel;Grandland;114;41999;Loué;4;Oui
Voiture;KU-569-RE;Peugeot;408;168;77451;Loué;5;Oui
CampingCar;MU-825-MR;Renault;Master;372;21527;Disponible;6.8;6
Moto;MF-652-VQ;Harley-Davidson;Street Glide;159;80299;Disponible;1100;A
CampingCar;OP-269-SC;Volkswagen;California;200;234454;Loué;5.0;4
Moto;NO-500-GA;KTM;Super Adventure 1290;140;57354;Loué;1300;A
Voiture;YW-518-QI;Toyota;RAV4;187;26853;Disponible;7;Oui
Voiture;ZG-747-WU;Dacia;Sandero;178;162565;Disponible;4;Oui
Voiture;RP-913-NE;Mini;Cooper;129;60497;En maintenance;4;Oui
Voiture;FF-863-EZ;Audi;A1;137;53021;Disponible;5;Non
Voiture;QD-874-PE;Volvo;XC90;190;143978;Disponible;5;Oui
Voiture;FS-059-LX;Hyundai;i10;158;711;Disponible;5;Oui
Voiture;NA-970-MZ;Citroën;C1;159;63209;Disponible;4;Non
Voiture;OV-439-VG;Fiat;Panda;170;105925;Loué;9;Oui
Voiture;YY-368-QV;Nissan;Micra;196;40070;Disponible;2;Oui
CampingCar;PO-088-YD;Mercedes;Sprinter;160;207580;Disponible;7.5;7
Moto;OB-713-KZ;Suzuki;V-Strom 650;185;14170;Disponible;1000;A
Moto;VQ-839-AX;Harley-Davidson;Road Glide;176;30265;Disponible;650;A2
Voiture;TP-353-RD;Volvo;XC60;103;35411;Disponible;5;Oui
Moto;WG-199-MZ;Suzuki;V-Strom 650;241;40268;Disponible;125;A2
CampingCar;XL-458-BV;Peugeot;Traveller;113;197004;En maintenance;6.6;6
CampingCar;DZ-301-YK;Mercedes;Vito;311;101255;Disponible;7.6;7
CampingCar;QJ-233-KF;Ford;Ranger (Cellule);248;32524;Disponible;6.9;3
Voiture;PW-743-QF;Skoda;Scala;168;189276;Disponible;9;Oui
Voiture;HB-167-AB;Toyota;Highlander;97;115272;Loué;9;Oui
Voiture;LA-035-GW;Volvo;XC40;127;175605;Disponible;2;Oui
Voiture;TL-480-QD;Renault;Austral;196;151860;Loué;2;Oui
Moto;XY-165-DO;Kawasaki;Versys 1000;124;55616;Loué;1300;A
Voiture;MA-772-WJ;Seat;Arona;130;38193;Disponible;4;Oui
CampingCar;HT-432-AZ;Citroën;Berlingo;397;146656;Disponible;8.1;7
Moto;IQ-265-YK;Ducati;Diavel V4;152;44704;Disponible;750;A
Voiture;SZ-247-PL;BMW;Serie 1;74;14741;Disponible;4;Oui
Voiture;OY-193-ZG;Fiat;500X;37;61994;Disponible;5;Oui
Moto;ME-359-EU;Royal Enfield;Meteor 350;114;83072;Disponible;500;A2
Voiture;GT-487-EB;Mercedes;CLA;44;6138;Disponible;9;Non
CampingCar;JT-173-GL;Renault;Trafic SpaceNomad;257;212832;Loué;6.0;6
CampingCar;PP-975-RV;Mercedes;Marco Polo;387;215087;Disponible;5.8;2
Moto;MW-253-XT;KTM;Super Adventure 1290;185;5157;Loué;300;A2
Voiture;RH-810-TH;Audi;e-tron;58;49656;Disponible;5;Oui
Voiture;WF-072-WQ;Mini;Clubman;69;147113;En maintenance;5;Oui
Voiture;LE-643-NR;Peugeot;208;176;22034;Disponible;2;Non
Moto;QD-843-IH;Harley-Davidson;Fat Bob;151;66016;Disponible;1300;A
Moto;KO-226-JB;Ducati;Multistrada V4;41;84394;Disponible;500;A2
Voiture;LL-235-PR;Mini;Cooper S;83;2667;Disponible;5;Oui
Voiture;DK-036-XM;Peugeot;208;130;194170;Disponible;5;Non
Moto;DW-859-GN;Kawasaki;Z900;87;93510;Disponible;750;A
Moto;SN-259-YJ;Triumph;Bonneville T120;54;43695;Loué;125;A2
Voiture;SS-621-TZ;Citroën;C5 X;80;158269;Disponible;2;Oui
CampingCar;ER-058-MJ;Iveco;Daily;320;9186;Disponible;8.0;2
Voiture;GL-419-XU;Toyota;C-HR;49;75403;Loué;9;Oui
Voiture;UB-324-PX;Volkswagen;Golf;90;102576;En maintenance;5;Oui
CampingCar;ND-333-SP;Citroën;Berlingo;92;226124;Disponible;5.4;5
Voiture;WT-907-LA;Dacia;Spring;168;94456;Disponible;2;Oui
Moto;ZX-001-NG;Harley-Davidson;Fat Bob;67;82926;En maintenance;600;A2
Voiture;CT-363-CU;Mini;Clubman;91;173909;Disponible;9;Oui
Voiture;WM-587-RM;Tesla;Model 3;143;195123;Disponible;9;Oui
Voiture;KK-009-YH;Fiat;Tipo;169;180983;Disponible;4;Oui
Moto;ZE-786-UG;BMW;CE 04;190;10436;Disponible;600;A2
Moto;XB-756-WN;BMW;CE 04;89;54145;Disponible;1000;A
Voiture;KV-699-CE;Volkswagen;Up!;131;7173;Disponible;4;Non
Voiture;MO-997-PX;Seat;Ibiza;74;122134;Disponible;5;Oui
Moto;WC-644-FA;Ducati;Multistrada V4;144;9804;Disponible;900;A
Voiture;YP-494-FY;Volkswagen;ID.3;135;69211;Disponible;7;Oui
Moto;VQ-302-QP;Triumph;Rocket 3;239;2019;Loué;650;A2
Voiture;OE-545-KW;Toyota;RAV4;102;39922;Disponible;5;Non
Voiture;FH-859-JN;Skoda;Octavia;88;58889;Disponible;5;Oui
CampingCar;VU-500-KI;Renault;Trafic SpaceNomad;115;17496;Disponible;7.0;3
Moto;JL-223-AA;Ducati;Diavel V4;180;11978;Disponible;650;A2
Voiture;NT-396-WR;Peugeot;5008;183;138813;Disponible;5;Oui
Voiture;SO-433-JS;Hyundai;i10;158;16256;Loué;5;Oui
Voiture;TF-229-MM;Opel;Grandland;184;48006;Disponible;5;Oui
Voiture;JX-631-PV;Peugeot;5008;57;102217;Disponible;5;Oui
Moto;MC-938-ZN;Honda;Forza 350;135;24647;Disponible;300;A2
Moto;SS-090-LT;Suzuki;GSX-S750;49;51513;Loué;400;A2
Moto;JP-299-LT;Royal Enfield;Himalayan;157;15485;Disponible;125;A2
Voiture;MS-891-TX;Dacia;Sandero;53;135076;Disponible;9;Oui
Voiture;XH-459-CQ;Tesla;Model X;186;133290;Disponible;5;Oui
CampingCar;ED-481-NJ;Volkswagen;Caddy California;164;57688;Disponible;5.9;2
Voiture;VL-246-KA;Toyota;RAV4;89;130978;En maintenance;5;Non
CampingCar;BG-613-PE;Citroën;Berlingo;170;102533;Disponible;7.1;3
CampingCar;FS-978-UE;Mercedes;Vito;103;172583;Disponible;5.6;2
Voiture;US-552-QV;Audi;A6;105;156340;Disponible;9;Oui
Moto;WD-895-EF;Ducati;Panigale V2;196;20962;Disponible;125;A2
CampingCar;GB-977-GW;Fiat;Talento;352;57482;En maintenance;7.4;6
Voiture;VX-541-GN;Tesla;Model 3;179;179963;Disponible;7;Oui
Voiture;CQ-631-DH;Toyota;Aygo X;166;189200;Disponible;5;Non
Voiture;KU-606-JZ;Hyundai;i30;109;199483;Disponible;4;Oui
Voiture;GT-433-NJ;Volkswagen;Up!;116;132366;Loué;5;Oui
Moto;PY-085-YC;Kawasaki;Z900;77;54478;Disponible;1300;A
Moto;ZN-052-CQ;Triumph;Tiger 900;100;6287;Disponible;600;A2
Voiture;WT-319-CI;Volvo;XC60;168;135611;Loué;2;Oui
Voiture;UO-281-AZ;Ford;Explorer;129;53512;Disponible;5;Oui
CampingCar;FF-352-KI;Volkswagen;Crafter;145;156691;Disponible;5.3;7
Moto;IR-356-DU;Suzuki;GSX-S1000;130;60961;Disponible;500;A2
Voiture;FV-148-FE;Nissan;Micra;115;111492;Disponible;7;Oui
Moto;PW-824-RV;KTM;Super Duke 1290;56;34402;Disponible;1300;A
Moto;ZF-739-HX;Triumph;Rocket 3;88;13715;Disponible;125;A2
CampingCar;SU-746-XT;Renault;Kangoo;206;25410;Disponible;6.6;7
Voiture;PN-631-YE;Fiat;500;52;150033;Disponible;4;Oui
Voiture;VT-491-NI;Peugeot;108;185;4214;Loué;9;Non
Voiture;DN-562-QY;Fiat;Tipo;38;55010;Disponible;7;Oui
CampingCar;BS-410-EF;Peugeot;Boxer;186;226393;Disponible;6.4;7
Voiture;LI-398-XD;Fiat;Panda;49;51859;Loué;5;Oui
Moto;UV-074-ZE;Harley-Davidson;Fat Bob;190;41143;Disponible;1300;A
Voiture;NV-249-HH;Seat;Tarraco;147;128512;Loué;7;Oui
Voiture;IK-846-WU;Seat;Tarraco;100;91623;Disponible;9;Oui
CampingCar;GY-628-IO;Volkswagen;Grand California;361;201596;Loué;7.9;2
Moto;EO-823-UR;KTM;Adventure 390;218;82067;Disponible;1000;A
Moto;HC-158-NO;Honda;Forza 125;85;4098;Disponible;650;A2
CampingCar;BT-109-KO;Fiat;Ducato;322;168761;Disponible;8.9;6
Moto;NL-823-LG;Kawasaki;Z900;221;27143;Disponible;400;A2
Voiture;ZY-394-XM;Kia;Rio;68;126621;Disponible;7;Oui
Voiture;EG-782-JJ;Tesla;Model S;56;198554;Disponible;5;Oui
Voiture;HF-973-ZE;Mini;Cooper;43;130138;Disponible;5;Oui
CampingCar;DR-221-JJ;Ford;Transit Custom;110;10645;Disponible;7.5;4
Voiture;ZI-768-ZC;Mini;Countryman;182;50443;Loué;4;Oui
Moto;FA-697-QQ;Suzuki;Hayabusa;62;35225;Disponible;600;A2
Moto;LS-693-CF;BMW;R1250GS;64;10669;Disponible;125;A2
Voiture;BB-417-JB;Seat;Ibiza;60;198044;Disponible;5;Oui
CampingCar;ZL-961-TA;Iveco;Daily;175;136700;Disponible;7.8;2
CampingCar;ES-092-AI;Renault;Master;106;208225;Disponible;5.1;7
Voiture;SY-679-WE;BMW;X2;98;77630;Disponible;4;Oui
Voiture;ZZ-352-ZU;Dacia;Jogger;177;108943;Disponible;5;Oui
Voiture;SY-593-UT;Opel;Corsa;199;195470;En maintenance;4;Oui
Moto;OR-555-XY;Triumph;Tiger 900;200;99053;Disponible;600;A2
Voiture;DY-413-XN;Fiat;500;128;76869;Disponible;7;Oui
CampingCar;WT-880-WM;Iveco;Daily;336;23145;Loué;6.1;6
Voiture;CI-310-JZ;Dacia;Spring;87;125282;Disponible;5;Oui
Voiture;DI-352-XV;Mercedes;GLC;51;46450;Disponible;7;Oui
Voiture;IZ-754-QE;Audi;Q7;106;146060;Disponible;5;Oui
CampingCar;AF-029-AV;Peugeot;Traveller;264;191981;Disponible;8.4;5
Moto;QG-735-JS;Kawasaki;Z900RS;162;68504;Disponible;1250;A
Moto;DS-345-IU;Kawasaki;Z900RS;180;86852;Disponible;1250;A
Moto;OF-161-CZ;Harley-Davidson;Pan America;60;21704;Disponible;1250;A
Moto;RD-305-NJ;Kawasaki;Ninja 650;152;33132;Loué;400;A2
Voiture;PT-103-VZ;Fiat;500X;110;95847;Disponible;5;Oui
Voiture;AH-951-JF;Audi;Q2;59;61706;Loué;5;Oui
Voiture;SN-321-AM;Skoda;Enyaq;196;149372;Disponible;5;Oui
Voiture;YV-387-PG;Mercedes;Classe E;186;151843;Disponible;9;Oui
Moto;FM-547-IR;KTM;Super Adventure 1290;203;12198;Loué;600;A2
Moto;WP-106-HK;Kawasaki;Ninja 650;163;50729;Loué;1000;A
Voiture;BM-747-PS;Kia;EV6;137;143336;Disponible;5;Oui
Voiture;WS-473-EN;BMW;Serie 2;101;3079;Disponible;9;Oui
Voiture;VL-462-NQ;Hyundai;i10;112;168237;Disponible;7;Oui
Voiture;YE-109-WP;Mini;Clubman;151;78623;Loué;2;Oui
Moto;VI-223-OK;Kawasaki;Z900;49;82155;Disponible;1250;A
Moto;QH-832-XS;Royal Enfield;Continental GT 650;220;8752;Disponible;1800;A
Moto;OK-311-ZO;Harley-Davidson;Road Glide;60;77005;Disponible;1800;A
Moto;VN-951-TP;Ducati;Panigale V2;106;93303;En maintenance;600;A2
